Graph Name,Density,Node Count,Edge Count,DFS Time (ms),BFS Time (ms),Start Node
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_148.txt,0.008785808253791633,1018,9096,3.522,4.706,734
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_139.txt,0.007962990931802878,1128,10123,4.113,4.603,932
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_210.txt,0.008352239351045558,1078,9697,3.75,3.804,176
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_156.txt,0.008941158641757443,1002,8968,3.224,3.586,226
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_480.txt,0.007070404019529976,1268,11359,3.581,5.246,223
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_157.txt,0.006767325930036331,1324,11854,5.013,5.433,1168
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_481.txt,0.007426414888317148,1211,10882,4.295,4.694,321
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_158.txt,0.008747141768292683,1025,9181,3.848,4.068,388
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_159.txt,0.006357898830968606,1413,12685,5.283,4.219,37
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_16.txt,0.006264833836562318,1430,12802,5.318,6.141,1369
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_375.txt,0.0070160031225605,1281,11504,4.499,4.568,626
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_160.txt,0.007864056397503727,1143,10265,3.611,3.91,932
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_476.txt,0.007949748963517697,1132,10178,4.144,4.294,831
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_161.txt,0.007344036876440486,1219,10904,4.472,5.346,1123
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_477.txt,0.008933280000318407,1003,8978,4.188,3.959,924
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_162.txt,0.008927072927072927,1001,8936,3.556,3.958,25
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_474.txt,0.007980120729583828,1123,10055,3.961,4.479,194
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_163.txt,0.008657143714776709,1033,9229,3.742,4.081,754
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_475.txt,0.006103074764850632,1475,13269,5.209,5.23,554
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_164.txt,0.006849676204581058,1307,11692,4.416,4.665,764
